Names,NAB_M9,CAB_M9,NAB_M9T,CAB_M9T
b3685,29.7805333333333,28.552819,23.615991,24.312548
b3686,25.2254463333333,11.55438,34.51282,48.083457
b3687,169.086584666667,126.052307,221.867595,139.969935
b3688,95.1565633333333,93.0061665,83.507246,113.785547
b3689,27.239963,28.000567,21.991708,32.146405
b3690,13.7115383333333,11.788251,11.4609355,12.755791
b3691,1.34055666666667,2.3431995,2.294462,1.501495
b4478,4.69013833333333,4.0587955,3.495032,2.606624
b4477,7.497539,6.040423,5.2561115,6.153687
b3693,8.88569033333333,7.9678175,9.655147,8.214566
b4479,37.0268706666667,40.8545625,34.686859,45.149246
b3696,13.6283783333333,13.919916,9.8897075,14.948238
b3697,85.958706,85.741719,73.664914,68.137946
b3698,106.509356666667,102.8413065,71.9506975,94.568095
b3699,124.679827666667,132.1721695,131.3639585,132.700663
b3700,20.5510993333333,20.490163,27.588631,17.982291
b3701,252.411334,241.7530155,241.043349,228.019527
b3702,184.771669333333,163.001127,205.8579115,189.589829
b4757,0,0,0,0
b3703,16.1991636666667,17.442687,17.4266345,25.575191
b3704,30.0828716666667,16.9329295,32.624222,34.793405
b4557,30.2672686666667,31.1149785,62.8362785,6.017092
b3705,79.1001623333333,65.907052,80.7599565,65.083985
b3706,84.1674623333333,85.3796225,80.150815,86.932959
b3707,0,0,0,0
b3708,1.37932266666667,1.9843005,1.8821505,3.58739
b3709,0.788451666666667,0.594455,0.690657,1.306764
b3710,1.92219166666667,2.259555,1.5160655,2.250601
b3711,24.058557,22.000576,13.4284115,20.439086
b3712,44.6037936666667,39.6665185,37.82367,36.913142
b3713,103.975515666667,108.368434,85.7641185,82.912803
b3714,89.5068466666667,73.7373395,83.442178,66.734007
b3715,19.525571,24.315167,16.6420295,28.683047
b3716,23.568724,30.3829245,18.5724605,40.57106
b3717,43.8928676666667,71.596322,34.1094865,78.286944
b3718,19.0187616666667,23.017365,19.9744625,27.573282
b3719,4.177994,4.0957645,3.139075,4.53005
b3720,1.53377466666667,2.6226365,1.4881845,2.10793
b3721,2.33743766666667,3.0133725,2.592315,4.720429
b3722,1.67459666666667,2.1911965,2.350721,2.095734
b3723,1.64507533333333,2.0366215,1.0023545,0.878375
b3724,91.2891843333334,195.5607045,104.1548435,207.977876
b3725,159.900852666667,280.8435515,173.9206055,327.371557
b3726,41.403835,72.979598,53.775079,70.164244
b3727,14.6671203333333,27.5457175,20.4441995,18.979151
b3728,83.8478933333333,151.1071265,120.7612745,167.800417
b3729,249.843835666667,325.256482,227.37733,277.649241
b3730,115.471673666667,121.0003235,100.5104665,123.06852
b3731,1164.92498266667,935.750598,1284.8559025,929.785662
b3732,352.106753666667,305.5887775,381.0018095,319.220146
b3733,279.450308333333,234.0588975,288.211229,230.844979
b3734,645.333890333333,577.654228,706.4170685,618.182755
b3735,131.842138666667,118.8513225,152.1808835,111.086168
b3736,1416.88377766667,1258.3070375,1700.5413915,1384.093906
b3737,816.498192,707.2738865,1072.4135115,731.468357
b3738,166.762784333333,122.8538195,188.1924935,142.858892
b3739,322.647850666667,282.912307,434.0707895,312.917524
b3740,20.7504483333333,20.192926,22.823924,22.228543
b3741,120.727340666667,107.9494985,110.438214,110.589165
b3742,1461.64841333333,1215.6196265,1072.097942,1096.875848
b3743,47.8940086666667,49.9068365,49.649847,67.256861
b3744,22.5612533333333,18.6167405,29.1326505,24.788644
b3745,29.1787923333333,33.111015,28.072158,27.63341
b3746,41.7488583333333,45.1675115,36.478831,44.694755
b3747,26.8014733333333,27.391697,21.3255275,26.908197
b3748,177.664786333333,123.237376,625.728112,305.245568
b3749,6.121882,5.477557,14.563794,6.875552
b3750,39.7775123333333,42.706001,68.043432,76.743204
b3751,56.5396613333333,51.0090225,98.900837,64.922087
b3752,52.6425146666667,47.549923,48.076947,35.403991
b3753,7.26483866666667,5.309679,4.8235565,5.237038
b3754,10.513105,9.7031095,10.568512,14.649283
b3755,85.0802056666667,92.706036,76.35132,90.310525
b4480,69.2796236666667,71.6435705,72.5659785,66.864557
b3764,327.32995,277.8886615,292.681584,226.2828
b3765,7.49554833333333,9.8387085,6.708917,8.442805
b3766,5609.13990233333,3269.149422,2569.7444335,2779.973448
b4669,0,0,0,0
b4488,130.712234,226.493046,137.357697,93.162558
b3769,15.1175363333333,17.921962,24.148737,5.768599
b3770,107.489704,110.207027,99.6045015,105.450597
b3771,54.5645043333333,54.6927695,49.7634665,52.612477
b3772,23.6924766666667,26.0319365,25.380966,23.247578
b3773,28.4194163333333,32.6721845,31.2128125,37.733073
b3774,3082.14664433333,2727.3280625,5644.9577445,551.378959
b3775,1123.92866066667,1474.2168705,1414.7992925,1842.33783
b3777,82.1266073333333,101.858521,85.854649,121.323233
b3778,70.3900513333333,70.345395,51.034848,66.999141
b3779,125.352738,118.026826,106.7368105,112.702629
b3780,351.423283666667,361.5913665,326.2441255,328.697849
b3781,776.211358333333,835.1715535,696.6571835,857.407754
b3782,92.7771763333333,244.0198715,154.3820145,0
b3783,549.999466666667,567.487755,529.274771,525.892
b3784,69.47284,73.795533,63.0765605,65.18492
