Names,NAB,CAB_1,CAB_2
b2247,6.599411,5.964964,6.92836333333333
b2248,3.25907766666667,4.282121,3.906034
b2249,88.0386606666667,89.3348743333333,95.6428666666667
b2250,11.5932096666667,10.5184643333333,8.573605
b2251,29.7007083333333,25.0829986666667,27.4316053333333
b2252,4.82363566666667,5.085164,3.19079866666667
b2253,12.7834383333333,13.8943703333333,13.4235326666667
b2254,7.085344,8.63601466666667,6.55761266666667
b2255,12.0736126666667,14.0181493333333,11.922499
b2256,8.84305366666667,11.244155,8.94830933333333
b2257,5.79010733333333,6.09683933333333,5.005879
b4544,9.06415666666667,9.37051366666667,6.68787833333333
b2258,12.2857696666667,8.83704566666667,10.314597
b2259,84.0777976666667,80.151113,72.2561506666667
b2260,60.997958,58.794117,58.6131106666667
b2261,165.574250666667,175.260328,170.972385666667
b2262,200.451897666667,186.990062333333,196.639380333333
b2263,26.4165036666667,25.7874336666667,26.145324
b2264,64.7505433333333,67.805583,65.978463
b2265,88.0329826666667,92.8178183333333,91.2780763333333
b2266,1682.541789,1866.044017,1843.37808966667
b2267,22.725101,30.6680463333333,22.606067
b2268,17.247514,16.021685,19.9638843333333
b2269,1.09610433333333,0.848074666666667,0.793002
b2270,3.24967533333333,2.48180766666667,2.65256533333333
b2271,0.314965333333333,0.871318333333333,0.762771666666667
b2272,2.72228333333333,2.219893,2.58480133333333
b2273,0.776264333333333,1.445242,0.632692333333333
b2274,1.29667133333333,1.33353033333333,1.19447433333333
b2275,4.754227,5.512922,4.29656933333333
b2276,380.691977333333,358.575858,340.548408
b2277,370.138021333333,370.755899,326.855000333333
b2278,372.696170333333,371.790524333333,335.267217
b2279,300.702382,286.780667333333,273.521561
b2280,410.99249,401.491336,367.284613
b2281,370.577473,340.859621333333,329.988809333333
b2282,316.710484666667,301.945496,297.448868666667
b2283,291.385569,257.441268666667,281.306438333333
b2284,313.743192666667,301.004948333333,318.214842
b2285,466.034361,437.036652,458.050451666667
b2286,311.842377666667,285.878646,313.407561
b2287,437.209733666667,413.192149,427.433004333333
b2288,518.141877666667,463.654423333333,491.698233333333
b2289,60.503656,53.954327,61.6374286666667
b2290,60.254394,69.1599513333333,62.3813846666667
b2291,53.5808083333333,47.5992976666667,56.1521513333333
b2292,31.9298513333333,34.4330273333333,29.5306863333333
b2293,108.089581,120.557355666667,110.658402333333
b2294,93.9197073333333,100.825295,102.07713
b2295,162.419655666667,186.248247666667,163.762326333333
b2296,348.290654666667,330.465557,344.967076666667
b2297,297.055138666667,291.262509,302.872901
b2298,8.672584,8.66211766666667,8.46648
b2299,55.4757646666667,73.6548803333333,58.854061
b2300,94.7653976666667,86.9379573333333,104.596418333333
b2301,30.7203023333333,32.3143223333333,36.4864806666667
b2302,30.0714093333333,25.5129666666667,22.6839473333333
b2303,55.660712,61.0495486666667,53.2495843333333
b2304,84.5897046666667,84.5426706666667,87.9489913333333
b2305,3.32700233333333,2.718516,3.56868833333333
b2306,15.666209,13.6340553333333,11.8098133333333
b2307,25.83442,23.338454,23.7519076666667
b2308,43.1479583333333,37.1225526666667,38.0059306666667
b2309,146.120801666667,127.258064,129.828225
b2310,467.173306333333,388.730933666667,447.640177
b2311,27.483843,28.2609876666667,30.8977023333333
b2312,71.070421,69.859397,70.2199166666667
b2313,107.735088666667,119.758012666667,96.086753
b2314,200.899503666667,202.329994666667,188.223714333333
b2315,63.348578,62.4683523333333,64.9719233333333
b2316,474.658596666667,437.830029,462.825493666667
b2317,207.676629,222.403811,184.899452333333
b2318,245.832612,227.678113666667,239.11574
b2319,122.856111,122.840392333333,120.924040333333
b2320,118.917282,115.327273,121.474582666667
b2321,19.9877446666667,22.441119,20.4534173333333
b2322,13.0291746666667,12.377616,11.768712
b2323,1031.22661166667,961.978330666667,1051.70038666667
b2324,31.8194603333333,34.5449533333333,33.9558483333333
b2325,78.8093596666667,82.026778,77.3993763333333
b2326,60.6127483333333,72.8562906666667,62.5422013333333
b2327,35.2266493333333,37.4509873333333,33.2689786666667
b2328,36.9670903333333,38.5926076666667,37.5869156666667
b2329,85.8100133333333,79.839066,86.6020326666667
b2330,68.8829906666667,66.5471663333333,69.554814
b2331,69.32971,76.5073946666667,72.7921003333333
b2332,41.1744873333333,45.2172096666667,40.3161373333333
b2333,2.76856933333333,2.35929566666667,3.28503333333333
b2334,2.59292666666667,2.89222066666667,2.023559
b2335,1.912376,1.53005966666667,2.81163966666667
b2336,1.70664733333333,1.9869,0.838783
b4661,5.143188,5.39765566666667,4.98575
b2339,1.162691,1.54265533333333,0.921183666666667
b2340,634.664089,522.520667,660.331700666667
b2341,161.867494333333,172.710351333333,181.353732333333
b2342,264.314491666667,248.024740666667,306.046759666667
b2343,281.26779,255.196094333333,319.309008
b2344,195.914740666667,170.18528,201.231013
b2345,1.00590466666667,2.74040766666667,1.069739
b2346,122.572305,115.727476333333,115.740152666667
b2347,47.384032,54.003463,45.406404
b2349,9.25998233333333,8.87767066666667,7.59285266666667
b2350,42.0267283333333,45.4141023333333,45.2579363333333
b2351,43.1527333333333,49.1172306666667,38.8949503333333
b2352,13.0812633333333,25.9939843333333,13.560305
b2354,4.634414,4.30515866666667,2.963112
b2355,1.66756166666667,0.413229666666667,0.572204333333333
b2356,1.50137066666667,0.946685666666667,0
b2357,0.832783666666667,1.00901133333333,0.918820666666667
b2358,1.45775933333333,0,0.541718
b2359,1.50636066666667,1.471244,2.69922833333333
b2360,1.22731033333333,1.49588733333333,1.836798
b2361,0.237056333333333,0.118684666666667,0.248394666666667
b2362,1.551187,0.263258666666667,0.756283
b2363,3.49379266666667,3.90914133333333,7.52130333333333
b4545,0,0,0
b4501,17.3254196666667,11.417874,11.154528
b2364,5.44693033333333,6.713086,7.07017566666667
b2365,12.5441006666667,13.1852983333333,10.9241933333333
b2366,36.4515813333333,37.8172223333333,31.8655516666667
b2367,0.962666666666667,1.19882566666667,1.21135833333333
b2368,1.079767,0.882325666666667,1.132062
b2369,79.8916243333333,98.380036,69.9866003333333
b2370,26.60987,31.7506553333333,23.7237916666667
b2371,1.751097,1.95159133333333,1.635665
b2372,0.731931333333333,0.858888666666667,0.989683666666667
b2373,1.54476966666667,1.465814,1.24019633333333
b2374,1.385323,1.99132966666667,1.750635
b2375,2.15603266666667,3.46121166666667,3.89921833333333
b2376,5.29193166666667,9.08247466666667,2.415598
b2377,114.512235333333,150.657067666667,112.507421
b2378,260.010192666667,263.539507333333,232.858674
b4680,0,0,0
b2379,77.6335643333333,79.2247216666667,77.7035236666667
b2380,14.670997,16.164026,12.1096863333333
b2381,19.4740843333333,22.3401016666667,18.2219296666667
b2382,16.4935006666667,13.6231786666667,13.4493163333333
b2383,5.48514166666667,5.63068666666667,5.50185433333333
b2384,4.54111833333333,4.52646133333333,4.521953
b2385,7.851739,6.58957433333333,5.98987533333333
b2386,6.85657,7.980089,6.757727
b2387,9.490774,10.3199026666667,9.181485
b2388,118.914877,128.262268333333,118.156872333333
b2389,16.0416706666667,19.0144196666667,17.0613366666667
b2390,799.980598666667,698.575456333333,852.144493
b2392,80.387234,79.8144716666667,70.621068
b2393,121.461982,123.284034,105.526052333333
b2395,18.278787,18.8821546666667,16.5333503333333
b2398,117.661101333333,116.839755,107.687515
b2399,76.7783726666667,84.1756116666667,74.4257126666667
b2400,162.054396666667,166.944862,167.883561666667
b2405,14.8596406666667,14.6014083333333,13.2868306666667
b2406,6.02325533333333,6.54167133333333,5.99463833333333
b2407,1.108336,0.599005333333333,1.41600733333333
b2408,3.18190166666667,2.40784233333333,2.772952
b2409,14.37842,15.950432,13.7792436666667
b2410,54.9006873333333,55.4295046666667,48.0746226666667
b4546,35.8553413333333,42.3520443333333,40.5412566666667
b2411,38.082048,43.8844893333333,40.3190533333333
b2412,421.295131,408.730278666667,382.752242333333
b2413,98.325135,102.169806333333,85.0498953333333
b2414,1803.12981766667,1428.52438733333,1860.717177
b2415,2711.89081266667,2558.87025066667,2613.20972566667
b2416,497.060731,551.464210333333,511.071511333333
b2417,916.965039333333,1019.117408,950.398019333333
b2418,35.56179,35.7106086666667,36.5690606666667
b2419,17.7937493333333,20.7637736666667,17.9476773333333
b2420,14.2865953333333,20.174032,13.937749
b2421,70.619172,72.79415,73.334278
b2422,288.219236,255.381891333333,270.126112333333
b2423,326.454759333333,244.432954666667,272.682852
b2424,436.831102333333,356.458131,354.427121333333
b2425,762.992126333333,725.982955,708.907994333333
b2426,561.779779666667,536.547101333333,582.143965
b2427,8.166207,6.91077,8.25295166666667
b2428,26.1011556666667,28.7895836666667,25.155597
b2429,21.9280343333333,19.820848,20.1912863333333
b2430,14.8767466666667,14.404343,15.256877
b2431,187.333345666667,187.319691,186.149869333333
b2432,132.420954666667,114.981088666667,119.807145
b2433,41.6610473333333,45.1674363333333,36.9607053333333
b2434,71.6811923333333,82.334268,71.654954
b2435,73.8686273333333,74.002662,70.4770396666667
b2436,42.4224146666667,42.0110406666667,38.7687343333333
b2437,9.20280166666667,8.485873,9.04314533333333
b2438,12.43501,10.8139333333333,12.4702556666667
b2439,11.303851,10.50586,11.3994633333333
b2440,14.3654016666667,13.7771796666667,13.7203566666667
b2441,152.278739666667,143.707821333333,134.517984
b2442,0,0,0
b2443,0,0,0
b2444,0,0,0
b2445,0,0,0
b2446,0,0,0
b2447,0,0,0
b2448,0,0,0
b2449,0,0,0
b2450,0,0,0
b2451,7.924987,7.01137733333333,7.27879133333333
b2452,4.71401766666667,5.703027,4.23098033333333
b2453,3.46994733333333,2.62981466666667,2.283643
b2454,1.711288,1.97740066666667,1.60103633333333
b2455,2.19077466666667,1.734748,2.22416
b2456,0.671790333333333,0.405712666666667,0.326266
b2457,13.8318783333333,16.2047256666667,14.669959
b2458,3.530454,3.94405266666667,3.634356
b2459,3.67530466666667,4.36692266666667,4.64176133333333
b2460,2.55494,2.36384266666667,2.60058733333333
b2461,2.919482,3.21430333333333,3.24551
b2462,1.27456866666667,1.43739533333333,1.52191366666667
b2463,202.739606666667,206.786526,220.038870333333
b2464,218.330921666667,225.205969,223.150120666667
b2465,260.169738666667,255.640596333333,282.693095
b2466,89.7454003333333,89.457082,87.5017113333333
b2467,48.6080563333333,55.386828,46.4181986666667
b2468,12.402053,11.5347653333333,12.504433
b2469,16.132241,17.181881,14.7190536666667
b2470,22.140161,21.9348703333333,19.0609213333333
b4606,0,0,0
b2471,36.8210983333333,34.1282816666667,41.70903
b2472,55.6759836666667,58.1131433333333,53.3298663333333
b4547,87.2766696666667,112.394495,77.277301
b2473,105.852415666667,109.655295333333,98.837115
b2474,46.73813,46.2362766666667,44.2732703333333
b2475,153.660605333333,156.260147666667,145.442551666667
b2476,189.902007,209.838408333333,187.217884
b2477,579.298781,538.642172666667,542.439179666667
b2478,453.709539333333,464.560548333333,437.004
b2479,118.521740666667,126.113833333333,106.675149666667
b2480,190.020258333333,192.707744333333,191.395952
b2481,1.91772866666667,2.53258,2.00882533333333
b2482,2.31965766666667,2.388168,2.340616
b2483,1.49778766666667,1.25666166666667,0.824720333333333
b2484,1.988873,2.05793866666667,1.46330833333333
b2485,1.328851,2.963117,1.89489133333333
b2486,5.41188233333333,6.06627766666667,5.04230433333333
b2487,5.35238566666667,5.51138533333333,5.181551
b2488,5.17816766666667,5.21582233333333,6.244796
b2489,6.08029066666667,6.56421266666667,6.623898
b2490,2.29626833333333,2.693432,1.28890666666667
b2491,3.405775,4.311573,3.22708866666667
b2492,8.68491766666667,8.640045,6.885234
b2493,93.9204276666667,96.3935536666667,88.051941
b2494,132.325317,123.114815333333,132.933434
b2495,181.015999,164.498489333333,180.712515333333
b2496,82.5726206666667,80.2986026666667,78.4636143333333
b2497,12.953436,14.2710446666667,12.0783703333333
b2498,101.160561,107.018459333333,106.565927333333
b2499,83.4223946666667,87.6549553333333,80.5518753333333
b2500,76.5562916666667,87.49449,76.506615
b2501,85.885063,93.2033046666667,90.7438366666667
b2502,75.0076673333333,73.131782,75.7733746666667
b2503,2.95280866666667,3.17967733333333,2.25869966666667
b2504,235.650949666667,230.546113333333,149.294844
b2505,4.629881,4.58645133333333,5.19918833333333
b2506,7.68066466666667,5.77577233333333,5.97942366666667
b2507,206.910447,198.59912,210.895863333333
b2508,114.431119,119.047702666667,109.165723666667
b2509,51.8309866666667,52.750518,48.3316863333333
b2510,41.033184,43.4029186666667,36.12919
b2511,137.341894666667,140.790566666667,128.730156
b2512,490.264791666667,461.255700666667,426.755652333333
b2513,303.079905333333,285.108779333333,294.306882
b2514,309.716996666667,309.692065,294.374021666667
b2515,259.301947666667,230.95934,253.833766666667
b2516,300.156536333333,281.406912333333,271.969503666667
b2517,68.2903923333333,67.63865,68.5356776666667
b2518,49.7305576666667,68.096201,53.5640086666667
b2519,19.644383,17.2704203333333,16.8282786666667
b2520,107.223626666667,105.766039666667,100.868041
b2521,319.67915,359.407344,335.573332
b2522,78.8793923333333,79.6422256666667,75.1162146666667
b2523,146.058663,144.314156666667,150.542286
b2524,231.838121,238.684605,256.931319
b2525,183.515779666667,162.676177333333,181.992484666667
b2526,197.720975666667,172.523950333333,181.366821333333
b2527,215.767073,178.015795333333,202.626718666667
b2528,763.763058666667,731.055747,718.863042
b2529,735.055767333333,715.292716,758.046248333333
b2530,881.646481666667,776.319105333333,923.042507666667
b2531,1063.19863266667,949.697537666667,1017.79638266667
b2532,288.125860333333,281.616666666667,294.587267666667
b2533,111.669309666667,110.543118333333,111.614431333333
b2534,8.411357,10.47282,8.190414
b2535,240.314825333333,214.252576666667,245.901600666667
b2536,32.68196,31.8522696666667,33.4239976666667
b2537,325.671202333333,278.689141333333,313.599491666667
b4706,0,0,0
b2538,16.8952816666667,18.4836746666667,15.62787
b2539,9.542939,7.90174833333333,8.77852133333333
b2540,7.625735,7.81884933333333,5.58836733333333
b2541,14.0202596666667,11.342748,11.000285
