Names,NAB,CAB_1,CAB_2,CAB_3,CAB_4
b0330,17.4605665,17.35815,26.868662,26.7271243333333,43.0110246666667
b0331,113.2826955,50.675468,12.9638863333333,12.4311836666667,6.33638033333333
b0333,78.2839265,30.204778,6.91297633333333,8.85470433333333,5.7833
b0334,90.628772,27.861507,5.94190666666667,7.89603933333333,6.539772
b0335,33.574537,16.43603,4.63739133333333,6.72463,9.36246733333333
b0336,6.161813,3.39166,2.42059433333333,4.29930466666667,4.74741333333333
b0337,28.595885,33.44889,20.352544,37.922256,63.3209216666667
b0338,9.4758635,7.440502,6.30163366666667,3.33716233333333,10.831034
b0339,2.603126,2.56233,2.895921,3.38502366666667,4.10513433333333
b0340,2.7532255,0,0.959564,1.97953666666667,3.79862166666667
b0341,1.067231,0.758368,3.91630266666667,6.801231,6.20089
b0342,3.4634075,10.692406,1.71412133333333,2.560765,0.978972666666667
b0343,4.935954,3.412238,3.882756,1.99500266666667,1.723266
b0344,1.4651415,1.92143,2.72187466666667,3.403171,4.07106033333333
b0345,25.1285755,25.578911,71.861358,25.773149,33.205731
b0346,26.707417,30.840682,194.965345666667,78.4442696666667,38.5814573333333
b0347,0.818773,1.687308,2.65748433333333,1.89362866666667,2.91053966666667
b0348,0.1134425,3.474051,1.39988333333333,2.144452,1.84887766666667
b0349,2.3652775,1.681754,2.29515133333333,3.17314666666667,1.74668166666667
b0350,1.3037,1.238384,0.432461,4.07310366666667,2.95810866666667
b0351,1.9680975,0.491952,0.809648333333333,2.15479266666667,3.49655533333333
b0352,2.5043135,0.901148,3.752426,5.48835233333333,5.566357
b0353,1.1524715,7.127174,2.422237,11.3136636666667,13.0416233333333
b0354,81.553271,89.470836,95.6291773333333,52.0257093333333,86.7082286666667
b0355,53.963333,33.213042,57.5724056666667,41.240522,23.03303
b0356,22.6090425,15.176411,8.80540066666667,12.0051836666667,20.1870966666667
b0357,36.70668,21.606356,0,5.13315366666667,12.3876596666667
b0358,23.37157,10.607443,8.06501766666667,4.33511733333333,7.71162933333333
b4579,8.595284,3.88722,0,0,0.246925666666667
b0360,0,0,0,0,0
b0361,0,0,0,0,0
b0363,7.9757045,1.810473,2.42397733333333,1.74077166666667,2.051197
b4731,0,0,0,0,0
b0364,1.0028405,3.451959,0.944356666666667,1.38009866666667,2.119698
b0365,0.732597,1.933973,1.70197333333333,3.07238666666667,4.20310433333333
b0366,0.605435,2.01261,3.139167,4.12418233333333,2.53503166666667
b0367,0.7674075,2.39763,2.66479766666667,1.93186,2.850638
b0368,4.55128,1.724732,2.893931,3.23249166666667,7.50746866666667
b0369,92.3385115,166.837551,279.635043,233.983243333333,401.088088333333
b4580,16.9242395,3.193147,0.883570333333333,1.00750133333333,2.18109333333333
b0375,6.4695605,0.939591,2.86764466666667,0.542274333333333,2.10387
b0376,50.5486945,62.355139,186.827797333333,93.9408793333333,160.657648
b0377,15.9818445,25.416256,83.4677823333333,38.362484,90.4667333333334
b0378,30.8867135,28.461838,76.7952486666667,43.415869,99.8739443333333
b0379,32.9112125,41.549986,437.542387,860.553887333333,390.604223333333
b0380,295.508747,218.068002,364.852953666667,98.1652193333333,76.8252963333333
b0381,45.3549035,47.978527,48.2637946666667,44.2363816666667,76.326492
b0382,199.87463,66.656364,71.2854136666667,27.4675496666667,6.12278366666667
b0383,5.134506,3.811521,8.24818033333333,6.74286333333333,6.51538
b0384,506.710097,115.823599,52.7033203333333,79.1805853333333,79.0333726666667
b0385,4.11248,1.189689,5.491946,3.33830766666667,4.95933966666667
b0386,74.916161,137.460592,106.896932333333,99.2501923333333,163.783178
b0387,142.157636,128.050079,121.535872333333,146.384915666667,288.709207333333
